,ground_truth,trial,sample_size,param1,param2,param3,param4,param5,param6,linear_MAE_train,five_poly_MAE_train,best_model_MAE_train,linear_MSE_train,five_poly_MSE_train,best_model_MSE_train,linear_MAE,five_poly_MAE,best_model_MAE,linear_MSE,five_poly_MSE,best_model_MSE,linear_TSE,five_poly_TSE,best_model_TSE,ymin,ymax,ymin_disp,ymax_disp,x_train,y_train,x_test,y_test
0,linear,1,10,0.9762700785464951,4.30378732744839,,,,,0.043927870481560674,0.04082361112595659,five_poly,0.0031362028330318764,0.002611376997367164,five_poly,0.07310793371965042,0.07246334755781339,five_poly,0.00830688316810184,0.008189348486630657,five_poly,0.007936491803628563,0.007780459544442543,five_poly,-8606.598384818233,8608.550924975327,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.20922783 0.27050961 0.26088748 0.4788659  0.34311039 0.51075856
 0.51169601 0.66984109 0.65358003 0.65554943]","[-962.42039913 -959.56320512 -879.54905674 -857.9278836  -825.7414006
 -763.45114826 -742.14740469 -713.29342518 -579.23487785 -470.88877579
 -369.14329815 -280.98419885 -272.57845811 -233.11696235 -170.67612002
 -152.69040132 -125.9360924  -124.82557747 -122.79697308  -87.69933557
  -77.04127549   43.6966435    57.78983951   89.76636599  136.08912219
  136.86789774  140.39354084  205.52675214  224.19144544  233.86799375
  235.27099415  279.84204266  291.78822613  333.53343089  341.27573924
  363.64059821  395.26239185  548.46737887  556.3135019   561.05835257
  583.45007617  598.31712843  665.2396911   740.02429649  783.54600156
  851.19327659  887.49615703  889.3378341   927.325521    957.23668447]","[0.25714032 0.29437575 0.28543411 0.30971578 0.24281888 0.28011792
 0.26066631 0.29291239 0.29013958 0.2441752  0.42190827 0.39761148
 0.30143952 0.47874334 0.3847471  0.46598303 0.52684322 0.47911224
 0.56045281 0.3792891  0.51292701 0.45613935 0.44478369 0.47613362
 0.50909808 0.5387102  0.4418864  0.62344781 0.59330086 0.4355675
 0.67787792 0.72163164 0.66724942 0.56898937 0.49965873 0.67526629
 0.56656144 0.73491245 0.65574037 0.71839571 0.67437183 0.70610514
 0.66714992 0.82787571 0.70603947 0.74495747 0.8725261  0.61451373
 0.63019258 0.81686091]"
1,linear,2,10,2.360308579976831,-1.4246259810846773,,,,,0.07521701761509343,0.04954565356932149,five_poly,0.008423305925585791,0.003952820121523116,five_poly,0.06469977559110524,0.08319367166100695,linear,0.00657489435179404,0.010606540343106161,linear,0.006537853240458256,0.00968779102196174,linear,-2846.8916535893777,2851.6122707493314,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.63069939 0.72959578 0.65222277 0.63413585 0.71842936 0.54778058
 0.34364089 0.45047241 0.20028296 0.21307323]","[-976.57183163 -962.95641108 -936.32214094 -891.32402332 -861.66600909
 -799.54622538 -752.3600343  -729.05187156 -701.10339068 -675.01413065
 -670.611687   -656.74064548 -600.00695021 -552.15062388 -403.43534809
 -309.29663861 -280.04387104 -264.8762599  -185.63340555 -137.16312913
 -128.27014947  -92.91463464   42.07321241  138.20147723  139.9298214
  148.6504977   181.7455225   231.11912857  242.956803    304.20654
  306.40163971  394.85754629  407.77716708  408.82880385  428.4825991
  444.11119894  459.98112485  587.39540671  612.38797809  614.63791745
  696.01645864  711.60668479  732.76465186  736.25211474  783.84671003
  793.0931917   838.96522749  856.16258693  951.04301001  997.69401314]","[0.73868363 0.87780652 0.67450015 0.65671592 0.7075403  0.64680829
 0.77822088 0.59586845 0.58347836 0.63372793 0.62781033 0.81854773
 0.7259554  0.64504176 0.502824   0.6448732  0.48999374 0.44263738
 0.64145073 0.55964619 0.60573624 0.54872687 0.55802815 0.41336758
 0.38227812 0.51736494 0.39029085 0.38705624 0.4028182  0.4253467
 0.39508008 0.29128951 0.34656624 0.21992055 0.44289787 0.26080759
 0.29665405 0.35732435 0.28773797 0.46978169 0.22256733 0.3434624
 0.31366621 0.22248949 0.34590046 0.288003   0.35200194 0.35183969
 0.43529812 0.35749873]"
2,linear,3,10,9.23872757094458,-4.157049464149023,,,,,0.06856685233595543,0.06391783665069203,five_poly,0.006418142987186069,0.006101741538590935,five_poly,0.06417372483758112,0.0648481018192302,linear,0.0064688482001119775,0.006605829803379428,linear,0.006454806352316326,0.006558239924011145,linear,-8304.860200727102,8323.33765586899,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.70657108 0.72772845 0.54639429 0.64582918 0.64733654 0.30662342
 0.45076737 0.41526375 0.25456059 0.21821825]","[-977.14508275 -973.52628448 -967.14074082 -893.14563643 -872.08946776
 -837.79722002 -804.31103101 -799.41211547 -735.02473048 -726.19945663
 -703.7182781  -620.30417619 -551.36594205 -536.59674706 -535.53171566
 -518.34244017 -436.53978849 -413.95943098 -333.70969594 -323.68209633
 -305.53296414 -262.83078774 -185.51765717  -43.25938592  -28.74480813
   -5.217269     22.63796509  172.82033237  235.75338384  260.89587373
  278.9450328   339.83309318  451.18872842  548.0946654   570.30582405
  598.4051747   644.23546639  697.88711063  724.38303484  748.57593325
  753.01049063  813.11099844  859.05863358  882.75540941  898.63764483
  921.66931613  923.14030908  945.83897805  954.99027949  963.65877964]","[0.73365582 0.7195583  0.71706415 0.5892061  0.81020889 0.79581879
 0.63600862 0.58253908 0.72544137 0.63548683 0.68728582 0.62952977
 0.69316459 0.68972912 0.57583514 0.51891649 0.48249988 0.65232021
 0.48831868 0.54037522 0.52867812 0.56150231 0.39147703 0.52591713
 0.54909748 0.50837808 0.46946961 0.46458693 0.47298536 0.21296861
 0.58673673 0.44624919 0.33501013 0.33170006 0.39692289 0.34111039
 0.17648638 0.49068765 0.31006099 0.39446983 0.25638339 0.41963241
 0.30814284 0.32801865 0.19172032 0.36647429 0.32440038 0.36768795
 0.21100543 0.22060314]"
3,linear,4,10,5.927829490346635,9.183332060704451,,,,,0.08886304892513955,0.05843812243090981,five_poly,0.008813726592965098,0.006119429554545386,five_poly,0.07056187766620253,0.08331630011336495,linear,0.007794749298925964,0.010618121869028023,linear,0.00757581385632747,0.00973997537283945,linear,-18360.736291918554,18372.591950899252,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.19362398 0.38101641 0.42088618 0.32155107 0.53408246 0.43306733
 0.37059955 0.68739445 0.5539732  0.78607476]","[-975.9275542  -968.78787111 -967.34299463 -933.85081705 -933.39074691
 -874.57409595 -869.3915857  -863.85185205 -800.77013956 -769.03140572
 -737.88953757 -681.1710731  -674.09114791 -629.53534953 -557.67816931
 -534.51174144 -496.11802351 -493.61761255 -482.63186622 -346.59823646
 -289.26230306 -286.58621919 -203.13148276 -197.48099839 -181.89180925
 -151.93549622 -142.408555    -91.67520618  -85.55309329  -83.72234548
  -19.3893069   151.50232409  181.96833065  228.92941295  236.96051903
  257.79687812  277.52351473  631.04763754  641.5342414   698.07661686
  715.44528839  738.97706109  817.68743683  858.58283461  890.60306696
  903.74895367  917.96544373  948.51242564  978.81955457  980.69000312]","[0.20129724 0.3905671  0.343645   0.23026643 0.2116253  0.18423028
 0.24737829 0.2616086  0.27063198 0.32027846 0.36180934 0.35767959
 0.2703457  0.22759284 0.46974301 0.31121613 0.32378701 0.33490045
 0.23189647 0.37511252 0.38931196 0.47798211 0.5050937  0.45093142
 0.52907492 0.48921332 0.46314329 0.48995545 0.46335945 0.44748145
 0.47373399 0.44763467 0.56792742 0.47778246 0.62657063 0.54449253
 0.57334048 0.69726885 0.71184872 0.54886928 0.66230903 0.75515858
 0.56857339 0.74562815 0.54220563 0.64413669 0.73258181 0.6045909
 0.66586403 0.6274257 ]"
4,linear,5,10,0.49940884508528427,5.011900458579749,,,,,0.0444501249301608,0.041735263892998045,five_poly,0.002898358406061596,0.00278647487608237,five_poly,0.06553994013122684,0.06641513426137807,linear,0.006745923758715095,0.0069229458589197814,linear,0.00666371401092168,0.006809960253556132,linear,-10023.301508314413,10024.300326004584,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.20445504 0.3271479  0.32376347 0.30331418 0.5417393  0.54992753
 0.50564497 0.66407427 0.7601713  0.75042341]","[-994.59357221 -984.23179298 -966.25665326 -951.37360058 -939.52948399
 -902.61940805 -821.01090993 -805.51414874 -790.74422252 -768.59353335
 -590.15262608 -580.50010069 -492.71495149 -441.86410354 -434.60069811
 -332.98506842 -332.07026081 -316.60377027 -314.77803132 -303.04802193
 -254.64186036 -188.11535606 -115.92872454 -107.72897468   19.61439324
   39.90474914   61.07442913   87.35610766  154.28048804  177.47921994
  200.7844742   244.46211768  244.76885713  294.39330779  343.91428119
  352.48496455  361.02896229  390.54001181  392.9648614   420.67365795
  421.05680544  480.19505124  581.68032645  627.3572994   724.63709367
  758.46952606  844.22292353  848.31753324  897.72204144  925.54063968]","[0.31539679 0.26020287 0.22681752 0.16940296 0.25824317 0.28988858
 0.36481389 0.28941287 0.33890719 0.23068266 0.28985151 0.34604383
 0.29245099 0.4551538  0.42840025 0.43908139 0.44409476 0.58253254
 0.38379636 0.24812269 0.45228355 0.44892288 0.4296163  0.39476137
 0.46976844 0.52448326 0.47504327 0.71483532 0.46172977 0.48092042
 0.36710652 0.58123428 0.39987968 0.53044196 0.56392493 0.531343
 0.72936705 0.67718655 0.70377217 0.53457491 0.69555173 0.65972884
 0.70713256 0.73919443 0.60845821 0.65567197 0.78006341 0.49962986
 0.84549676 0.77563573]"
5,linear,6,10,6.963007606939698,8.71664160433577,,,,,0.07553369486130153,0.0575488481071358,five_poly,0.008088520347501432,0.0061236499889620955,five_poly,0.07119085928148072,0.07356127448448835,linear,0.00792427036732978,0.008573622933846078,linear,0.0075605529742787565,0.0074782554299514855,five_poly,-17426.3202010646,17440.24621627848,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.06043305 0.37467974 0.18194279 0.44878659 0.57021187 0.53296627
 0.4809582  0.59205439 0.67351281 0.73542042]","[-941.6195303  -940.09935019 -882.93015553 -859.91561971 -805.48401042
 -793.40368983 -780.43108387 -779.04577802 -768.3319974  -765.36887163
 -704.38264661 -661.94918774 -516.88591992 -457.49584648 -357.91401991
 -310.56374525 -239.32963294 -201.67770949 -200.39661555 -200.37571998
 -192.41451867 -189.92877341 -189.2528343  -152.58729309 -136.47974469
  -85.88247734  -58.75819216   -4.44618435   73.84600216  162.16385934
  212.61626609  229.05539962  269.57264587  278.37379845  306.84232223
  313.52391688  342.76695734  369.86887737  406.43499293  427.53373682
  452.68492884  474.50848519  644.81347671  714.24983501  719.16167284
  724.1251917   734.33431821  918.28450396  959.92465268  966.85248452]","[0.24836337 0.25618454 0.29634587 0.1883352  0.27926741 0.42310997
 0.2741206  0.26973167 0.39417278 0.10392301 0.41841463 0.2839604
 0.38389281 0.39333175 0.48591894 0.40095148 0.38592553 0.55340824
 0.26076694 0.4515328  0.34406234 0.39159194 0.61358733 0.45828554
 0.48148564 0.33600435 0.42698688 0.51461305 0.54684212 0.58989189
 0.5538443  0.59942419 0.60369571 0.42321422 0.57967104 0.63981317
 0.63288212 0.56335851 0.53715863 0.51741848 0.60268691 0.70927351
 0.50505904 0.62577112 0.58860622 0.7438279  0.63923881 0.69192011
 0.7226252  0.77734458]"
6,linear,7,10,-0.9381150910224321,-0.12084332025553124,,,,,0.056108329814934896,0.03522147087506948,five_poly,0.004245254039227025,0.001986958878094724,five_poly,0.06711484198314648,0.07659181412821868,linear,0.007068957796259076,0.009134108590539982,linear,0.006954765297200662,0.00854813098258169,linear,-242.62475560208492,240.74852542004004,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.71369568 0.72670561 0.56544851 0.60353306 0.59340352 0.58101811
 0.40943611 0.47051889 0.38830835 0.17030299]","[-998.90807021 -920.0143962  -872.89245033 -849.28186183 -795.1724831
 -784.7645897  -775.14536558 -764.94871419 -721.8545977  -687.23330226
 -633.93341584 -583.49349576 -575.13127741 -569.20359131 -515.64281175
 -506.88612038 -499.20357429 -422.8600847  -391.6026168  -296.12751901
 -285.15069681 -245.18685482 -216.40612287 -193.94799519 -183.39418332
 -150.67399432 -149.19654929 -146.19127958  -33.2129296   -24.64735292
   53.8148981   136.43518734  192.8661307   243.33087291  279.41021215
  418.07092037  490.46592006  539.9343725   556.3431909   618.72994298
  636.06661151  685.70977567  688.46992311  716.67527727  748.79983415
  795.0855293   864.78787792  865.12240771  908.66763079  951.76773684]","[0.65229194 0.70560651 0.80053795 0.7065375  0.65074052 0.8203706
 0.7167387  0.50558964 0.7058365  0.71341157 0.67653205 0.68185034
 0.63840077 0.53682923 0.59925438 0.55107227 0.55018162 0.50466955
 0.63409978 0.58186357 0.53543445 0.50934968 0.55222768 0.63482258
 0.38551129 0.56781862 0.49364218 0.38578095 0.35264699 0.43313916
 0.50410704 0.49733624 0.37666494 0.52052896 0.54398613 0.4271692
 0.33007131 0.45496994 0.42134586 0.41471011 0.28846625 0.1018082
 0.4972258  0.19196091 0.3099386  0.49168825 0.31024917 0.35965912
 0.15264137 0.11984471]"
7,linear,8,10,6.216772302579027,-3.036161145069598,,,,,0.07000111564821809,0.06596678612064721,five_poly,0.009289556447667626,0.008286919924871924,five_poly,0.07009633063959705,0.07419081140809791,linear,0.007678269138880616,0.008603268025810127,linear,0.007411748805838889,0.008064316333891987,linear,-6066.105517836617,6078.539062441776,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.70957133 0.62918112 0.59828748 0.49918293 0.72755381 0.29259649
 0.46178735 0.25834693 0.29720808 0.17095984]","[-922.88550788 -914.15161878 -886.24548171 -881.23362399 -862.29607101
 -807.09827861 -800.53410553 -768.20306235 -759.75963567 -719.2320844
 -698.13020538 -649.25586097 -577.09040844 -566.25949982 -564.67431308
 -545.27510184 -403.62528067 -378.32004571 -370.85340999 -339.46592861
 -333.85593105 -331.05251701 -328.04491532 -315.31524675 -264.16502436
 -209.53351293  -48.82176583  -30.06870968   34.65216703  109.29011724
  133.01221398  314.63783323  411.42008798  437.25278068  451.1470682
  455.54254643  514.72828648  546.22010501  627.76028384  630.39879063
  640.04487174  653.7232061   726.94129839  752.05369584  799.733486
  802.3243413   806.2992937   837.09290238  947.63739369  960.97132694]","[0.63651106 0.6373222  0.86196026 0.70966933 0.65431784 0.74623753
 0.70096147 0.74965347 0.54399938 0.70409633 0.73634814 0.5293861
 0.68012822 0.7772594  0.63997996 0.70203125 0.65455196 0.53797956
 0.59589469 0.45950691 0.54735974 0.60401817 0.63985927 0.58079778
 0.62363995 0.46415088 0.50406966 0.50905953 0.63930426 0.45554414
 0.42682562 0.42304864 0.3236159  0.40610711 0.35800882 0.24280816
 0.366631   0.33804153 0.21246606 0.33702957 0.45913726 0.3782735
 0.36721885 0.20466684 0.3382185  0.31129488 0.3407488  0.32453706
 0.15430819 0.2564451 ]"
8,linear,9,10,9.9163058591927,-7.412884779226008,,,,,0.03703747010710935,0.03336662130693745,five_poly,0.002241148550239821,0.001592935275879263,five_poly,0.06742366515893647,0.06694825175598922,five_poly,0.007135757613916233,0.007045498489466405,five_poly,0.0069521361876971,0.006775368649244587,five_poly,-14815.853252592824,14835.68586431121,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.85967912 0.65365699 0.66487846 0.66310277 0.53022592 0.4666509
 0.42079266 0.43049324 0.23768991 0.22394644]","[-998.67156282 -989.37990477 -977.28974298 -972.98258675 -951.45459076
 -897.84903966 -863.81380152 -833.41804056 -782.19252232 -745.41194916
 -716.3654486  -695.94554558 -628.20479429 -534.45465564 -491.23519776
 -487.77240996 -470.70080399 -469.39335093 -468.73490492 -443.34940336
 -378.74156342 -366.53866689 -300.01431274 -162.72627286 -139.76803125
  -57.08536129  -49.35043558  -32.4942706    22.44357515   41.35558297
   51.61790615  116.10247331  253.41295192  278.92554895  304.24918968
  383.01621566  409.89612385  430.28650405  438.77812401  455.08721918
  582.45486204  647.43534405  706.49195232  718.00527932  883.33559078
  887.7017147   929.8498817   931.03327827  938.41174344  950.18936042]","[0.78730254 0.77226074 0.76348906 0.71366155 0.81566651 0.89517172
 0.74846669 0.69290037 0.75600735 0.64322238 0.61911613 0.67661109
 0.45042747 0.54129763 0.59497185 0.51367199 0.53506375 0.58240847
 0.4857465  0.57835161 0.55186378 0.59366708 0.6673383  0.55448192
 0.53662697 0.5222277  0.53052903 0.42678448 0.48520708 0.5143612
 0.37743472 0.54022662 0.52315684 0.37975853 0.40463068 0.33399072
 0.45347641 0.30753059 0.37250731 0.3175146  0.35846263 0.19460282
 0.42949394 0.24333017 0.28395768 0.26107273 0.20656837 0.19621927
 0.34030895 0.22040141]"
9,linear,10,10,-7.920183240575338,2.6796330601476637,,,,,0.07005128006526656,0.03958365834592089,five_poly,0.006214496711273873,0.002444205170689138,five_poly,0.07172064440140985,0.0907363265361464,linear,0.008051633534505507,0.012535250012253312,linear,0.007813046707853712,0.010970710766385113,linear,-5367.186303535903,5351.3459370547525,-0.1,1.1,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.25361072 0.49272554 0.33899648 0.39590051 0.50138072 0.64548353
 0.71075499 0.61820308 0.71911094 0.63975332]","[-963.8072836  -961.07506538 -802.77926255 -792.8430731  -728.90313378
 -688.04414393 -602.01812015 -472.4646271  -447.32569453 -426.56663392
 -401.69271091 -382.94408089 -311.4216706  -265.0493555  -260.95291972
 -240.21219243 -223.19176566 -220.90298531 -201.55523268 -153.89111967
 -147.99522466 -128.93691894  -27.45582734   97.6985348   120.90117742
  176.30292087  181.1707581   299.06844835  305.99952189  329.33117307
  336.43645909  394.66050166  413.74361884  440.53170501  502.06459907
  597.37849777  602.14976051  630.45008143  632.30150453  720.62135669
  733.72182732  776.53008109  785.4143285   822.9017507   846.91107641
  850.79005058  855.9523332   884.36943804  889.25143684  967.70765936]","[0.23409009 0.192508   0.21875864 0.43631537 0.25439128 0.28546049
 0.37876337 0.48570986 0.42665779 0.61410675 0.39360338 0.42496129
 0.44419264 0.54854161 0.47534089 0.43064858 0.36840297 0.46432973
 0.56171878 0.42869668 0.50531668 0.48745759 0.56221762 0.46004433
 0.71795706 0.44174284 0.5160486  0.64981452 0.60023853 0.64873169
 0.54442093 0.59268073 0.60441446 0.7356737  0.68075047 0.71307839
 0.59790335 0.73512313 0.67612191 0.79128696 0.84455527 0.66959126
 0.66384933 0.63660184 0.70024141 0.68213548 0.74274844 0.70952701
 0.69338492 0.82709373]"
